repo_id,owner,repo_name,full_name,repo_url,description,language,topics,stars_total,forks_total,watchers_total,open_issues_count,created_at,updated_at,pushed_at,license,default_branch,has_issues,has_wiki,has_pages,archived,size,stars_this_week,readme_text,collected_at,source_type,api_status
900000,agent-lab-00,coding-agent-radar-000,agent-lab-00/coding-agent-radar-000,https://github.com/agent-lab-00/coding-agent-radar-000,Coding Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,coding-agent|codex|automation,684,38,513,25,2026-01-23T03:08:27+00:00,2026-06-14T03:08:27+00:00,2026-06-11T03:08:27+00:00,NOASSERTION,main,True,True,False,False,75705,215,"# Coding Agent Lab 000

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900001,agent-lab-01,rag-agent-radar-001,agent-lab-01/rag-agent-radar-001,https://github.com/agent-lab-01/rag-agent-radar-001,RAG Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,rag|llm|retrieval,5408,1017,3181,343,2023-09-18T03:08:27+00:00,2024-05-12T03:08:27+00:00,2024-05-10T03:08:27+00:00,MIT,main,True,True,False,False,74624,50,"# RAG Agent Lab 001

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900002,agent-lab-02,research-agent-radar-002,agent-lab-02/research-agent-radar-002,https://github.com/agent-lab-02/research-agent-radar-002,Research Agent toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,research-agent|paper|workflow,740,158,248,99,2024-09-30T03:08:27+00:00,2026-05-18T03:08:27+00:00,2026-05-15T03:08:27+00:00,Apache-2.0,main,True,False,False,False,4707,20,"# Research Agent Lab 002

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow

Topics: research-agent, paper, workflow",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900003,agent-lab-03,workflow-agent-radar-003,agent-lab-03/workflow-agent-radar-003,https://github.com/agent-lab-03/workflow-agent-radar-003,Workflow Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,workflow-agent|orchestration|agentic-ai,899,192,475,85,2023-02-20T03:08:27+00:00,2025-12-03T03:08:27+00:00,2025-12-02T03:08:27+00:00,NOASSERTION,main,True,False,False,False,12388,20,"# Workflow Agent Lab 003

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai

Topics: workflow-agent, orchestration, agentic-ai",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900004,agent-lab-04,mcp-tool-radar-004,agent-lab-04/mcp-tool-radar-004,https://github.com/agent-lab-04/mcp-tool-radar-004,MCP Tool toolkit for AI Agent ecosystem analysis and course demos.,TypeScript,mcp|tooling|developer-tools,257,30,107,17,2026-04-14T03:08:27+00:00,2026-06-13T03:08:27+00:00,2026-06-10T03:08:27+00:00,NOASSERTION,main,True,True,False,False,72584,58,"# MCP Tool Lab 004

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools

Topics: mcp, tooling, developer-tools",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900005,agent-lab-05,multimodal-agent-radar-005,agent-lab-05/multimodal-agent-radar-005,https://github.com/agent-lab-05/multimodal-agent-radar-005,Multimodal Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,multimodal|vision-language|agent,1366,103,908,5,2026-03-26T03:08:27+00:00,2026-06-08T03:08:27+00:00,2026-06-05T03:08:27+00:00,NOASSERTION,main,True,False,True,False,25519,369,"# Multimodal Agent Lab 005

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

Topics: multimodal, vision-language, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900006,agent-lab-06,automl-agent-radar-006,agent-lab-06/automl-agent-radar-006,https://github.com/agent-lab-06/automl-agent-radar-006,AutoML Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,automl|mlops|agent,2946,178,1754,86,2021-09-28T03:08:27+00:00,2025-08-16T03:08:27+00:00,2025-08-13T03:08:27+00:00,Apache-2.0,main,True,False,True,False,57416,18,"# AutoML Agent Lab 006

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Topics: automl, mlops, agent",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900007,agent-lab-07,data-agent-radar-007,agent-lab-07/data-agent-radar-007,https://github.com/agent-lab-07/data-agent-radar-007,Data Agent toolkit for AI Agent ecosystem analysis and course demos.,Jupyter Notebook,data-agent|analytics|pandas,1159,52,563,17,2023-01-10T03:08:27+00:00,2026-05-22T03:08:27+00:00,2026-05-21T03:08:27+00:00,NOASSERTION,main,True,True,False,False,21667,29,"# Data Agent Lab 007

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas

Topics: data-agent, analytics, pandas",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900008,agent-lab-08,coding-agent-radar-008,agent-lab-08/coding-agent-radar-008,https://github.com/agent-lab-08/coding-agent-radar-008,Coding Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,coding-agent|codex|automation,942,149,626,96,2021-06-30T03:08:27+00:00,2026-01-19T03:08:27+00:00,2026-01-16T03:08:27+00:00,Apache-2.0,main,True,False,False,False,73410,8,"# Coding Agent Lab 008

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

Requires GPU acceleration and multiple API key providers.

Experimental status; issues may be stale.

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation

Topics: coding-agent, codex, automation",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
900009,agent-lab-09,rag-agent-radar-009,agent-lab-09/rag-agent-radar-009,https://github.com/agent-lab-09/rag-agent-radar-009,RAG Agent toolkit for AI Agent ecosystem analysis and course demos.,Python,rag|llm|retrieval,260,44,143,15,2026-05-18T03:08:27+00:00,2026-06-15T03:08:27+00:00,2026-06-15T03:08:27+00:00,NOASSERTION,main,True,False,False,False,62911,25,"# RAG Agent Lab 009

This project explores AI agent workflows for learning, automation, and reproducible experiments.

## Installation
pip install -r requirements.txt

## Quickstart
Run python main.py to launch the demo.

## Demo
Includes examples and screenshots.

## CPU Friendly
Runs on CPU-only Windows 11 environments.

## Docker
A Dockerfile example is provided.

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval

Topics: rag, llm, retrieval",2026-06-15T03:08:27+00:00,sample_fallback,sample_fallback
